id,title,author,publisher,category,published_date,isbn,price,stock
94,낯선 아침 입문 2,올가 토카르추크,에이콘출판,예술,2010-08-28,9787077686796,32000,20
95,이상한 창문에 대하여,문하은,인사이트,예술,2009-06-10,9786401707359,12800,1
96,가장 먼 이름의 발견 2,박민준,북스톤,IT,2021-12-14,9786568087101,11000,3
97,불완전한 지도의 재발견 1,최민준,마음산책,인문,2015-02-16,9787467736824,16500,12
98,가장 먼 이름 완전정복,심재현,비룡소,여행,2018-02-16,9786602587690,12800,20
99,단단한 방에 대하여,이소율,프리렉,과학,2019-02-20,9782232363032,9800,8
100,조용한 아침 실전 가이드,오가은,한빛미디어,경제경영,2021-10-10,9789305198175,32000,5
101,처음 만나는 방 연대기,알베르 카뮈,인사이트,자기계발,2018-10-13,9783424041425,22000,2
102,마지막 목소리 입문 (전면개정판),유수아,비룡소,자기계발,2013-09-06,9785117748078,38000,1
103,불완전한 겨울이야기 2,남주원,돌베개,과학,2017-02-19,9789119988940,11000,1
104,단단한 숲을 찾아서 (개정판),김수아,북스톤,과학,2012-09-30,9783230730880,25000,0
105,고요한 여행 실전 가이드,신건우,비룡소,소설,2010-12-20,9788080927379,11000,12
106,이상한 계절에 대하여,한우진,프리렉,여행,2014-04-14,9783707421692,14000,12
107,이상한 겨울의 발견,송소율,한빛미디어,에세이,2000-01-05,9780583231879,38000,5
108,완벽한 아침의 조건 (합본),유가은,에이콘출판,과학,2012-05-25,9780856279631,38000,3
109,잊혀진 계절의 기술 1,강민준,창비,인문,2008-04-21,9787180624386,11000,2
110,새로운 시간 연대기,전윤서,한빛미디어,소설,2023-12-03,9786737014022,18000,2
111,붉은 바다 (합본),가브리엘 마르케스,돌베개,과학,1998-06-28,9787244277877,19800,5
112,조용한 항해의 발견 (전면개정판),송정우,김영사,역사,2001-07-06,9784677483336,38000,20
113,단단한 계단 입문 3,강민준,사계절,경제경영,2016-03-13,9785997563722,18000,1
114,오래된 기차 완전정복,양하은,에이콘출판,IT,2001-07-09,9786579781256,28000,8
115,조용한 골목 연대기 (전면개정판),안소율,한빛미디어,IT,2021-12-06,9785880850558,25000,3
116,단단한 항해 연대기 1,배선호,민음사,여행,1998-01-31,9784864467854,22000,2
117,눈부신 바다 완전정복,조민준,창비,에세이,2005-11-02,9783200241811,32000,1
118,붉은 이름을 위한 안내서 (합본),윤윤서,길벗,에세이,2001-09-04,9784579376167,18000,20
119,오래된 우물의 재발견 (전면개정판),유정우,김영사,소설,2001-10-25,9785308286736,25000,5
120,잊혀진 거리 실전 가이드 3,홍하은,문학동네,경제경영,2015-12-10,9784679695572,12800,20
121,느린 불빛 수업 (개정판),문시우,문학동네,소설,2004-03-25,9788951422682,16500,5
122,잊혀진 지도의 발견,손지아,북스톤,경제경영,2000-11-27,9789163732789,18000,2
123,이상한 그림자 실전 가이드 (합본),남예준,길벗,자기계발,2026-02-11,9787463847569,45000,2
124,작은 질문의 재발견 (전면개정판),강주원,비룡소,소설,2005-10-05,9781729378068,12800,120
125,느린 목소리을 위한 안내서 (전면개정판),한강,알에이치코리아,소설,2020-08-21,9784879653497,14000,2
126,마지막 우물의 발견,문수아,웅진지식하우스,경제경영,2002-06-27,9782416382144,18000,12
127,무한한 항해의 기술 3,배선호,돌베개,예술,2005-08-22,9780308069486,9800,45
128,완벽한 지도에 대하여 (개정판),헤르만 헤세,에이콘출판,예술,2015-09-08,9787846956123,25000,1
129,고요한 약속 입문 (전면개정판),문태윤,위즈덤하우스,경제경영,2016-07-31,9787920690979,13500,12
130,보이지 않는 노래 실전 가이드 (합본),레이먼드 카버,한빛미디어,예술,2026-03-24,9789522330244,25000,20
131,아름다운 저녁 수업 3,황건우,에이콘출판,과학,2020-06-23,9781524041760,19800,2
132,다시 읽는 불빛의 기술 (전면개정판),한정우,열린책들,에세이,2023-02-28,9780792227238,11000,12
133,가장 먼 별자리 연대기 2,임도윤,에이콘출판,소설,2024-03-23,9786943317696,18000,3
134,단단한 별자리의 조건 (개정판),한재현,민음사,자기계발,2005-11-02,9781438602641,38000,3
135,완벽한 습관의 조건 (합본),한시우,길벗,에세이,2011-05-19,9786780045927,45000,8
136,조용한 방에 대하여,헤르만 헤세,웅진지식하우스,경제경영,2017-12-27,9785690303958,11000,2
137,단단한 약속 3,홍지호,민음사,인문,2013-01-02,9785318688989,11000,2
138,아주 사소한 창문을 위한 안내서,오현우,한빛미디어,에세이,2008-02-17,9784821808353,22000,1
139,조용한 방의 발견,양나윤,사계절,에세이,2010-07-01,9787935906163,11000,5
140,익숙한 여행 완전정복,정도윤,위즈덤하우스,에세이,1999-02-03,9785420457350,22000,5
141,단단한 골목 연대기,전예준,웅진지식하우스,인문,2022-02-19,9788196536968,18000,8
142,이상한 도시,황건우,문학동네,예술,1998-08-12,9785644019186,32000,8
143,마지막 숲의 조건 (전면개정판),권재현,알에이치코리아,소설,2004-11-11,9788615161088,16500,5
144,아름다운 마음 완전정복,황하은,한빛미디어,과학,2011-04-12,9782542574347,28000,12
145,보이지 않는 계단 연대기,김주원,창비,역사,2021-10-01,9784393742407,19800,45
146,조용한 우물 실전 가이드,유윤서,은행나무,에세이,2023-02-11,9785782824844,38000,2
147,아름다운 불빛 수업,김재현,김영사,여행,2008-02-05,9784053011182,16500,20
148,아주 사소한 사전을 찾아서,정수아,비룡소,자기계발,2003-08-17,9780349937595,15800,5
149,이상한 목소리이야기 (전면개정판),권지우,창비,여행,2026-04-10,9783946150860,25000,20
150,작은 아침 노트 (전면개정판),황주원,김영사,에세이,2008-06-25,9783348564774,18000,1
151,완벽한 사전의 기술,손서윤,김영사,IT,2013-05-29,9788413343477,38000,0
152,조용한 계절 (개정판),송채원,한빛미디어,자기계발,2023-11-03,9786099521621,12800,8
153,고요한 편지의 역사 (개정판),서지호,마음산책,예술,2013-07-21,9786241013980,38000,3
154,붉은 창문의 역사,최서윤,웅진지식하우스,자기계발,2022-04-06,9782459035726,15800,5
155,거대한 마음 노트 (개정판),임도윤,위즈덤하우스,IT,2010-03-31,9784113172864,15800,5
156,조용한 창문에 대하여 1,김채원,마음산책,인문,2019-09-04,9782896697136,25000,2
157,고요한 여행을 위한 안내서,정채원,웅진지식하우스,에세이,2002-02-12,9780685053446,22000,8
158,거대한 언덕 연대기 1,서서연,에이콘출판,에세이,2018-06-10,9781251022722,19800,5
159,무한한 방 입문,조윤서,비룡소,여행,2022-06-23,9789218659528,11000,8
160,작은 골목이야기,남소율,길벗,역사,2006-03-12,9783951174032,18000,12
161,낯선 여행을 찾아서,알베르 카뮈,에이콘출판,소설,2023-05-14,9784849400904,14000,1
162,이상한 골목 입문 3,최지아,프리렉,여행,2013-12-04,9782087094087,12800,5
163,새로운 언덕 노트 (합본),심서연,비룡소,과학,2005-05-12,9787671899789,12800,45
164,잊혀진 노래 연대기 (개정판),한주원,위즈덤하우스,소설,2011-04-10,9789340370954,28000,12
165,단단한 편지을 찾아서 (합본),배수아,사계절,역사,2020-02-14,9789961101374,28000,45
166,불완전한 도시의 역사 3,홍하은,김영사,자기계발,2000-04-05,9786824500050,38000,45
167,불완전한 거리에 대하여 2,남현우,길벗,역사,2021-07-17,9787987140805,9800,120
168,서툰 아침에 대하여,신정우,열린책들,소설,2014-09-27,9787100701297,9800,2
169,완벽한 거리을 찾아서 1,최채원,에이콘출판,IT,2006-09-20,9788516377968,28000,5
170,완벽한 이름 완전정복 (전면개정판),장지아,현대문학,IT,2023-08-25,9788190601078,19800,2
171,낯선 별자리 입문 1,이탈로 칼비노,은행나무,에세이,2007-09-19,9782154911320,45000,12
172,아주 사소한 거리을 위한 안내서,강주원,열린책들,과학,2000-01-08,9780030793438,32000,0
173,아름다운 창문에 대하여,알베르 카뮈,에이콘출판,역사,2006-05-15,9788522154408,19800,8
174,작은 사전의 기술,홍예준,현대문학,인문,2008-12-09,9789362036538,45000,45
175,마지막 숲을 위한 안내서 (전면개정판),한재현,창비,소설,2005-07-28,9788290516642,19800,2
176,마지막 시간,정지호,프리렉,과학,2012-12-10,9783972535330,18000,12
177,고요한 도시의 기술 (합본),임서윤,창비,여행,2008-06-04,9787313635966,38000,1
178,눈부신 목소리의 조건 1,서지우,프리렉,소설,2017-06-08,9785795262839,15800,2
179,완벽한 지도의 역사,안시우,웅진지식하우스,IT,2025-02-15,9787259464557,38000,5
180,느린 바다 2,홍민준,알에이치코리아,경제경영,2009-01-19,9785406754956,28000,20
181,낯선 시간의 재발견 (개정판),올가 토카르추크,문학동네,IT,2007-11-19,9783327710058,9800,8
182,처음 만나는 이름 연대기 (전면개정판),한주원,북스톤,과학,2018-03-11,9783793208425,38000,20
183,불완전한 항해 2,강윤서,돌베개,인문,2022-07-13,9789244246396,12800,8
184,눈부신 정원의 역사 3,전우진,길벗,역사,1998-05-05,9786024313099,28000,8
185,아름다운 목소리의 발견 (합본),황서연,북스톤,에세이,2021-03-31,9782015617072,38000,120
186,고요한 목소리 수업 2,서가은,웅진지식하우스,여행,2017-07-16,9783617619679,22000,8
187,낯선 기차의 조건 1,헤르만 헤세,비룡소,에세이,1998-06-02,9786449104951,15800,45
188,익숙한 이름 노트,오수아,알에이치코리아,자기계발,2015-09-26,9784955199695,45000,2
189,익숙한 지도을 위한 안내서 1,한태윤,민음사,역사,2017-06-19,9783821744895,14000,12
190,아주 사소한 이름 입문,전시우,프리렉,예술,2000-09-03,9789283454453,25000,5
191,아주 사소한 창문 노트,홍서윤,웅진지식하우스,인문,2011-05-31,9780037888217,13500,120
192,다시 읽는 사전 실전 가이드 (합본),전은우,프리렉,역사,2012-02-19,9783114507353,25000,120
193,느린 기록의 발견 2,정태윤,비룡소,소설,2014-05-16,9785725972581,22000,0
194,아름다운 계절을 위한 안내서,도리스 레싱,웅진지식하우스,인문,2019-02-16,9786561277329,14000,1
195,무한한 이름 연대기 (전면개정판),허은우,민음사,과학,2011-11-10,9783509126887,32000,12
196,붉은 섬의 발견 1,강하은,돌베개,경제경영,2013-10-01,9781957521762,32000,5
197,익숙한 문장의 조건,송현우,웅진지식하우스,IT,2013-04-27,9782456408060,22000,8
198,다시 읽는 언덕의 재발견 2,서태윤,민음사,과학,2014-06-23,9789288319993,11000,0
199,작은 습관에 대하여,문지아,위즈덤하우스,과학,2008-05-16,9783714217404,14000,8
200,잊혀진 도시을 위한 안내서,버지니아 울프,마음산책,과학,2005-06-14,9780910551892,38000,8
201,가장 먼 계절 완전정복 2,허현우,에이콘출판,과학,2023-10-28,9787520197269,11000,0
202,아주 사소한 노래의 역사 (합본),남은우,인사이트,경제경영,2015-03-12,9787862250359,22000,12
203,이상한 방의 발견 (합본),신현우,마음산책,소설,2001-03-03,9785475661332,19800,3
204,아주 사소한 언덕,고지호,열린책들,인문,2021-12-27,9784481373670,32000,20
205,서툰 여행 완전정복 (합본),윤윤서,프리렉,여행,2002-03-05,9784282736180,45000,20
206,완벽한 기록의 조건 2,백서윤,한빛미디어,역사,2024-08-01,9788194483594,45000,5
207,무한한 노래의 조건,남서연,마음산책,에세이,2024-01-02,9786230655035,12800,8
208,익숙한 노래의 발견,이선호,김영사,자기계발,2010-12-07,9782877146813,32000,3
209,아주 사소한 언덕 입문 (개정판),오수아,북스톤,자기계발,2011-08-03,9788191681693,12800,5
210,아름다운 기록의 기술,정도윤,위즈덤하우스,역사,2016-05-04,9784130569669,9800,2
211,불완전한 섬을 찾아서 (전면개정판),서다은,마음산책,예술,2025-05-22,9787869736562,15800,5
212,조용한 기차 완전정복,권현우,길벗,여행,2009-02-04,9787610017243,15800,45
213,이상한 저녁에 대하여 3,장태윤,에이콘출판,역사,2021-11-23,9784517100861,45000,5
214,이상한 저녁 완전정복 (개정판),임우진,위즈덤하우스,IT,2020-02-24,9785743421670,45000,3
215,새로운 계절 노트 1,유나윤,한빛미디어,과학,2026-05-09,9784001910167,19800,0
216,완벽한 목소리 노트,심주원,현대문학,인문,2001-07-19,9783509126605,28000,3
217,느린 습관 수업 (합본),임나윤,김영사,경제경영,2008-07-24,9784560760262,28000,2
218,오래된 사전,심윤서,마음산책,IT,2021-12-22,9785277026068,12800,5
219,서툰 마음 3,권정우,위즈덤하우스,역사,2025-07-17,9789093130027,32000,5
220,잊혀진 거리 실전 가이드 1,신도윤,에이콘출판,경제경영,2025-08-12,9782033359634,45000,8
221,가장 먼 지도 실전 가이드,오나윤,사계절,과학,2003-12-19,9781147205997,12800,8
222,붉은 섬 입문,무라카미 하루키,웅진지식하우스,자기계발,2007-12-10,9783796643368,16500,45
223,아주 사소한 질문의 발견 (합본),백은우,알에이치코리아,역사,2025-08-31,9780801714386,22000,5
224,새로운 방 연대기,이주원,웅진지식하우스,예술,2009-03-03,9781660150882,38000,1
225,무한한 우물,배서연,한빛미디어,IT,2008-03-11,9781339737018,14000,8
226,붉은 방을 위한 안내서,홍정우,은행나무,인문,2010-05-07,9783030797769,32000,8
227,거대한 계단의 조건,버지니아 울프,비룡소,경제경영,2006-07-18,9781094304534,25000,12
228,고요한 습관이야기,이도윤,돌베개,IT,2021-06-15,9785765918108,28000,1
229,다시 읽는 지도 완전정복 (전면개정판),남시우,한빛미디어,에세이,2020-05-27,9785742398615,28000,120
230,잊혀진 별자리,신소율,마음산책,인문,2003-04-19,9787507250307,9800,8
231,불완전한 불빛,권윤서,웅진지식하우스,소설,2004-09-28,9782367926885,38000,0
232,무한한 질문 실전 가이드 1,문은우,은행나무,에세이,2012-08-13,9785408249869,9800,0
233,보이지 않는 계단 연대기 2,김가은,마음산책,여행,2010-03-27,9782218661330,9800,5
234,붉은 숲에 대하여,김선호,돌베개,예술,2022-02-11,9784188301808,32000,3
235,눈부신 습관 완전정복,최정우,에이콘출판,소설,2010-06-27,9781429672188,45000,5
236,익숙한 문장에 대하여 2,안시우,민음사,자기계발,2011-10-07,9788091670893,12800,3
237,낯선 아침 연대기,김윤서,사계절,소설,2008-07-05,9780283814267,19800,5
238,아름다운 골목 노트 (개정판),최우진,알에이치코리아,소설,2020-09-30,9783688958709,45000,1
239,처음 만나는 숲이야기,오다은,돌베개,인문,2024-04-12,9781043144649,15800,1
240,단단한 겨울에 대하여 (합본),권나윤,은행나무,에세이,2005-10-02,9781903683828,28000,5
241,새로운 도시의 조건,양정우,위즈덤하우스,여행,2023-12-28,9789836746417,15800,20
242,다시 읽는 여행의 역사 (전면개정판),정민준,문학동네,소설,2009-03-11,9781067101413,15800,8
243,무한한 습관 노트 (개정판),허가은,프리렉,예술,2011-10-29,9783502332411,16500,12
244,느린 지도의 발견 1,서수아,김영사,IT,2021-10-14,9780498366801,9800,8
245,아주 사소한 기록 노트,배지아,민음사,역사,2006-09-09,9786332957655,28000,8
246,아름다운 기록 실전 가이드 3,안지호,인사이트,과학,2001-07-20,9786396862625,12800,8
247,이상한 마음의 역사 (전면개정판),신우진,사계절,IT,2010-01-28,9787194913085,32000,45
248,아름다운 계단 실전 가이드,정예준,북스톤,역사,2012-07-02,9788772061497,12800,120
249,보이지 않는 노래의 발견,임은우,웅진지식하우스,소설,2017-03-02,9784138940966,11000,1
250,오래된 골목의 재발견,유정우,인사이트,과학,2014-07-08,9780838516047,28000,120
251,무한한 사전 완전정복,남채원,웅진지식하우스,예술,2007-02-25,9787568255170,32000,2
252,익숙한 우물 완전정복 3,조지 오웰,인사이트,소설,2024-09-25,9787184893318,15800,2
253,아주 사소한 아침,권지우,비룡소,예술,2017-08-17,9784953305087,15800,0
254,붉은 골목이야기,고민준,북스톤,경제경영,2001-12-01,9785131574101,11000,1
255,서툰 습관의 역사,배나윤,김영사,역사,2023-11-10,9780903830206,19800,1
256,서툰 방의 기술,오채원,위즈덤하우스,인문,2019-02-07,9781811561244,18000,8
257,새로운 질문,배지우,웅진지식하우스,과학,2013-10-05,9784305546822,22000,45
258,아주 사소한 마음의 역사,가브리엘 마르케스,비룡소,자기계발,2007-09-22,9785732527253,12800,20
259,오래된 이름 2,강건우,북스톤,경제경영,2018-08-22,9784998087375,15800,45
260,이상한 불빛 입문,강정우,비룡소,과학,2001-07-02,9789765862849,9800,5
261,잊혀진 사전 완전정복 (합본),안서연,프리렉,에세이,2016-04-20,9787389039849,32000,8
262,잊혀진 거리을 찾아서 1,권정우,한빛미디어,IT,2007-12-03,9782131478638,22000,12
263,불완전한 기록 완전정복 (합본),황재현,현대문학,소설,2005-10-13,9783072980358,22000,20
264,아름다운 별자리 실전 가이드 1,허소율,인사이트,예술,2001-08-29,9787721571423,14000,2
265,가장 먼 숲 3,서은우,웅진지식하우스,경제경영,2004-02-06,9780493387742,9800,0
266,잊혀진 거리의 조건 1,박소율,민음사,과학,2007-08-23,9786582412251,19800,20
267,마지막 거리을 찾아서,황윤서,알에이치코리아,에세이,2024-04-06,9786857116904,38000,12
268,조용한 여행의 발견,오다은,민음사,IT,2003-01-18,9782793108728,38000,5
269,붉은 습관 수업 2,양시우,열린책들,소설,2008-07-13,9785805205427,13500,120
270,오래된 바다 실전 가이드,허서연,웅진지식하우스,IT,2009-09-25,9787279572365,11000,5
271,아름다운 도시 연대기,조소율,김영사,역사,2015-08-05,9788885557276,45000,20
272,새로운 불빛,조건우,한빛미디어,소설,2017-01-31,9788228948033,22000,3
273,낯선 사전을 찾아서,신태윤,돌베개,자기계발,2002-09-23,9783981860165,11000,5
274,거대한 우물이야기 (전면개정판),조건우,은행나무,여행,1999-10-06,9782892597350,22000,0
275,아름다운 기차 연대기,알베르 카뮈,문학동네,예술,2019-10-10,9781081935467,9800,45
276,가장 먼 겨울의 조건,최수아,마음산책,여행,2007-11-04,9785805466668,14000,20
277,거대한 질문의 조건,심주원,사계절,경제경영,1998-01-20,9783090905839,38000,1
278,작은 별자리의 조건,김우진,알에이치코리아,예술,2014-12-14,9780615192856,15800,1
279,잊혀진 바다 실전 가이드,홍시우,돌베개,역사,2016-02-18,9787606571108,22000,3
280,불완전한 아침을 찾아서,정지호,돌베개,IT,2018-03-14,9786928015332,19800,0
281,마지막 정원의 기술 2,코맥 매카시,돌베개,예술,2015-11-19,9783604499168,16500,12
282,가장 먼 골목 수업,강정우,돌베개,여행,2004-12-01,9789801705064,38000,45
283,완벽한 창문 실전 가이드 2,서정우,은행나무,여행,2016-08-30,9788451810114,9800,5
284,눈부신 계절의 역사 (개정판),이서윤,민음사,여행,2002-07-13,9783131980270,15800,8
285,익숙한 사전을 위한 안내서 (개정판),서은우,길벗,과학,2001-06-13,9789936349961,13500,2
286,다시 읽는 지도 입문 (개정판),남소율,한빛미디어,에세이,2000-06-17,9789857114255,19800,2
287,보이지 않는 마음 (전면개정판),김서연,웅진지식하우스,여행,2011-04-02,9782086693005,16500,0
288,아름다운 숲 실전 가이드 (전면개정판),송나윤,에이콘출판,인문,2002-10-28,9782575875527,13500,2
289,보이지 않는 골목,허민준,웅진지식하우스,여행,2021-11-06,9783959530438,18000,3
290,서툰 여행을 찾아서,남선호,민음사,자기계발,2001-06-11,9789413833278,32000,2
